Characters ID,Characters,E0,E1,E2,E3,E4,E5,E6,
1308,Acheron,4,4.5,9.5,9.5,9.5,9.5,11,E0 + 1 | E2 - 1 | E4 - 0.5 | E6 - 0.5
1402,Aglaea,3.5,11.5,13.5,14,14.5,14.5,16.5,E0 + 3 | E2 - 1 | E6 - 1
1008,Arlan,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
1401,Big Herta,8.5,12.5,16.5,17,17,17,18,E0 + 0.5 | E2 - 1.5
1307,Black Swan,0.5,4.5,4.5,4.5,5.5,5.5,6,E0 - 1 | E4 + 1 | E6 + 0.5
1205,Blade,0.5,1,1.5,1.5,2,2,3,
1315,Boothill,0.5,2,3,3,3,3.5,5,E0 - 1.5 | E1 + 0.5 | E2 + 0.5
1407,Castorice,8.5,11.5,15.5,15.5,16,16,19,E0 - 0.5 | E1 + 0.5 | E2 + 1
1107,Clara,0.5,0.5,1,1,1,1,1.5,
1317,Crappa,3,5.5,5.5,5.5,5.5,5.5,9.5,E0 - 2 | E1 - 0.5 | E6 + 3
1002,Dan Heng,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
1305,Dr Ratio,0.5,1,1.5,1.5,3,3,7,
1220,Feixiao,0.5,2,6.5,7,7,7,10.5,
1013,Herta,2,2,2,2,2,2,2,
1003,Himeko,0.5,1,1,1,1,1,1,
1109,Hook,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
1213,Imibitor,0.5,1,5,5,5.5,5.5,7.5,
1314,Jade,5,5.5,6,6,7,7,8.5,E0 + 1 | E1 - 0.5
1204,Jing Yuan,1,1.5,1.5,1.5,1.5,1.5,2.5,E0 + 0.5 | E1 - 0.5
1212,Jingliu,0.5,1,1.5,1.5,1.5,2,3.5,
1005,Kafka,0.5,3.5,4,4,5,5,5,E2 + 0.5
1111,Luka,0.5,0.5,0.5,0.5,0.5,0.5,1,
1223,Moze,0.5,1,1.5,1.5,1.5,1.5,1.5,
1404,My Day,6,6.5,7.5,8,8.5,8.5,12.5,E0 - 1 | E1 - 1.5 | E2 - 0.5 | E6 - 0.5
8002,PMC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
1201,QQ,0.5,0.5,0.5,0.5,1,1,2,
1310,Samfly,0.5,1.5,7.5,7.5,7.5,7.5,10.5,E0 - 1.5 | E2 + 1.5
1108,Sampo,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
1102,Seele,1,1,2,2,3,3,3,
1103,Serval,0.5,0.5,1,1,1,1,1,
1206,Sushang,0.5,0.5,0.5,0.5,0.5,0.5,1,
1214,Xueyi,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
1209,Yanqing,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
1221,Yunli,0.5,4.5,5.5,5.5,5.5,5.5,7.5,E2 - 0.5
1304,Aventurine,2.5,3,3.5,3.5,3.5,3.5,4,
1211,Bailu,1,1,1,1,1,1,1,
1208,Fuxuan,1.5,2,2,2,2.5,2.5,4,
8004,FMC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
1301,Gallager,1,1.5,2,2,2.5,2.5,2.5,
1104,Gepard,1,1,1,1,1,1,1,
1217,Huo Huo,2.5,3.5,3.5,3.5,3.5,3.5,5,
1001,March,1,1,1,1,1,1,1,
1312,Misha (sustain),0.5,0.5,1,1,1,1,1,
1105,Natasha,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
1222,Lingsha,2.5,6.5,7.5,7.5,7.5,7.5,10,E0 + 0.5
1203,Luofraud,1.5,1.5,1.5,1.5,1.5,1.5,2.5,E0 + 0.5
1110,Lynx,1,1,1,1,1,1,1,
1004,Welt (sustain),1.5,1.5,2.5,2.5,2.5,2.5,3,
1302,Argenti (Herta),3,3,3,3,3,3,4,
1009,Asta,0.5,0.5,0.5,0.5,2,2,2.5,
1101,Bronya,2.5,3,4,4,4,4,6,E2 - 1 | E6 + 1
1225,Fugue,6,10,11,11,12.5,12.5,15.5,E0 + 0.5 | E1 + 1 | E6 - 1
1210,Guinaifen,1.5,1.5,1.5,1.5,1.5,1.5,2,E0 - 0.5
1215,Hanya,1.5,1.5,2,2,2.5,2.5,2.5,
8006,HMC,4,4,4,4,4,4,4,
8008,RMC,7,7,7,7,7,7,7,
